business_id,business_name,customer_radius_km,customer_type,supplier_dependency,seasonality,main_operational_risks,key_demand_indicators
BUS00270,Auto Repair Shop - Unit 0270,1.7,Retail - Walk-in,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Power/utility disruptions; Regulatory/licensing compliance burden,Local construction/real estate activity; Agricultural output in surrounding region
BUS00271,Hardware Store - Unit 0271,0.8,Retail - Repeat/Loyalty,2-3 suppliers - moderate dependency,Year-end/New Year spike,Dependence on single supplier; Regulatory/licensing compliance burden,Foot traffic count; Average transaction value trend
BUS00272,Pharmacy - Unit 0272,2.3,Wholesale Bulk Buyers,Import-dependent supply chain,Harvest-season dependent,Raw material price volatility; Power/utility disruptions; Currency/import cost fluctuation,Competitor density in radius; Online order volume trend
BUS00273,Handicraft Exporter - Unit 0273,1.8,Mixed Retail & Wholesale,2-3 suppliers - moderate dependency,High demand Oct-Dec (festive season),Currency/import cost fluctuation; Perishable inventory spoilage,Local employment rate; Social media engagement/reviews; Average transaction value trend
BUS00274,Pharmacy - Unit 0274,0.9,B2B - Local Businesses,Self-sourced/in-house production,Monsoon-dependent (Jun-Sep),Currency/import cost fluctuation; Delayed customer payments (B2B),Local employment rate; Competitor density in radius
BUS00275,Mobile Repair Shop - Unit 0275,22.3,Online/E-commerce,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Power/utility disruptions; Perishable inventory spoilage; Seasonal cash flow gaps,Competitor density in radius; Local construction/real estate activity
BUS00276,Bakery - Unit 0276,0.6,Institutional (Schools/Offices),Single supplier - high dependency,Year-end/New Year spike,Logistics and last-mile delivery cost; High employee attrition; Seasonal cash flow gaps,Online order volume trend; School/college enrollment nearby
BUS00277,Bakery - Unit 0277,5.1,Retail - Walk-in,2-3 suppliers - moderate dependency,Harvest-season dependent,Seasonal cash flow gaps; Limited access to working capital credit; High employee attrition,Agricultural output in surrounding region; Competitor density in radius; Local construction/real estate activity
BUS00278,Kirana Store - Unit 0278,8.3,B2B - Local Businesses,Seasonal supplier contracts,Monsoon-dependent (Jun-Sep),Delayed customer payments (B2B); Perishable inventory spoilage; Seasonal cash flow gaps,Foot traffic count; Repeat customer rate; Agricultural output in surrounding region
BUS00279,Bakery - Unit 0279,22.2,Government/Institutional Contracts,Self-sourced/in-house production,High demand Oct-Dec (festive season),Logistics and last-mile delivery cost; High employee attrition; Seasonal cash flow gaps,Agricultural output in surrounding region; Local population growth; Competitor density in radius
BUS00280,Pharmacy - Unit 0280,0.4,B2B - Local Businesses,Single supplier - high dependency,"Low seasonality, weekday/weekend variation only",Dependence on single supplier; Regulatory/licensing compliance burden; Power/utility disruptions,Competitor density in radius; Seasonal festival calendar
BUS00281,Furniture Store - Unit 0281,2.4,Wholesale Bulk Buyers,Import-dependent supply chain,Year-end/New Year spike,Seasonal cash flow gaps; Delayed customer payments (B2B); Logistics and last-mile delivery cost,Online order volume trend; School/college enrollment nearby; Local construction/real estate activity
BUS00282,Agri Input Dealer - Unit 0282,1.9,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Limited access to working capital credit; Logistics and last-mile delivery cost,Local construction/real estate activity; Foot traffic count; Local population growth
BUS00283,Cafe - Unit 0283,8.2,B2B - Regional Distributors,Import-dependent supply chain,Stable year-round demand,Seasonal cash flow gaps; Regulatory/licensing compliance burden; Dependence on single supplier,Competitor density in radius; Agricultural output in surrounding region
BUS00284,Electronics Retailer - Unit 0284,1.1,Online/E-commerce,Self-sourced/in-house production,High demand Oct-Dec (festive season),High employee attrition; Limited access to working capital credit; Dependence on single supplier,Seasonal festival calendar; Repeat customer rate; Foot traffic count
BUS00285,Pharmacy - Unit 0285,9.8,Wholesale Bulk Buyers,2-3 suppliers - moderate dependency,Harvest-season dependent,Power/utility disruptions; Regulatory/licensing compliance burden; Delayed customer payments (B2B),Repeat customer rate; Average transaction value trend; Local construction/real estate activity
BUS00286,Vegetable Vendor - Unit 0286,2.6,Retail - Repeat/Loyalty,Single supplier - high dependency,"Back-to-school peak (Jun, Jan)",Regulatory/licensing compliance burden; Perishable inventory spoilage,Repeat customer rate; Competitor density in radius
BUS00287,Electronics Retailer - Unit 0287,8.6,Retail - Repeat/Loyalty,Seasonal supplier contracts,Stable year-round demand,Logistics and last-mile delivery cost; Limited access to working capital credit; Competition from larger chains,Local employment rate; School/college enrollment nearby
BUS00288,Electronics Retailer - Unit 0288,28.9,B2B - Local Businesses,Single supplier - high dependency,Stable year-round demand,High employee attrition; Limited access to working capital credit; Power/utility disruptions,School/college enrollment nearby; Seasonal festival calendar; Agricultural output in surrounding region
BUS00289,Bakery - Unit 0289,0.8,Government/Institutional Contracts,Self-sourced/in-house production,Summer peak (Apr-Jun),Regulatory/licensing compliance burden; Raw material price volatility,Repeat customer rate; Seasonal festival calendar; Local construction/real estate activity
BUS00290,Mobile Repair Shop - Unit 0290,2.5,B2B - Regional Distributors,2-3 suppliers - moderate dependency,"Back-to-school peak (Jun, Jan)",Competition from larger chains; Dependence on single supplier,Local employment rate; Average transaction value trend; School/college enrollment nearby
BUS00291,Packaging Unit - Unit 0291,4.2,Government/Institutional Contracts,Self-sourced/in-house production,Summer peak (Apr-Jun),Power/utility disruptions; Regulatory/licensing compliance burden; Seasonal cash flow gaps,Foot traffic count; Seasonal festival calendar; Average transaction value trend
BUS00292,Print & Copy Shop - Unit 0292,4.5,Institutional (Schools/Offices),Seasonal supplier contracts,High demand Oct-Dec (festive season),Limited access to working capital credit; Currency/import cost fluctuation,Repeat customer rate; School/college enrollment nearby
BUS00293,Stationery Shop - Unit 0293,19.3,B2B - Regional Distributors,Seasonal supplier contracts,High demand Oct-Dec (festive season),Delayed customer payments (B2B); Power/utility disruptions; Limited access to working capital credit,Local construction/real estate activity; Online order volume trend; Average transaction value trend
BUS00294,Dairy & Milk Supplier - Unit 0294,1,Retail - Walk-in,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Dependence on single supplier; Competition from larger chains,Local population growth; Online order volume trend
BUS00295,Event Planning Service - Unit 0295,2.6,Wholesale Bulk Buyers,Single supplier - high dependency,Harvest-season dependent,Currency/import cost fluctuation; Seasonal cash flow gaps,Competitor density in radius; Repeat customer rate; School/college enrollment nearby
BUS00296,Fitness Studio - Unit 0296,19.2,Online/E-commerce,Diversified supplier base - low dependency,"Low seasonality, weekday/weekend variation only",Raw material price volatility; Logistics and last-mile delivery cost; Currency/import cost fluctuation,Repeat customer rate; Local employment rate; Local population growth
BUS00297,Salon & Spa - Unit 0297,25.9,Retail - Repeat/Loyalty,Single supplier - high dependency,Stable year-round demand,Delayed customer payments (B2B); Regulatory/licensing compliance burden; Power/utility disruptions,Local employment rate; School/college enrollment nearby; Average transaction value trend
BUS00298,Bookstore - Unit 0298,24.7,B2B - Local Businesses,Diversified supplier base - low dependency,Harvest-season dependent,Logistics and last-mile delivery cost; Limited access to working capital credit,Foot traffic count; Local employment rate; Competitor density in radius
BUS00299,Cloud Kitchen - Unit 0299,2.5,Mixed Retail & Wholesale,Diversified supplier base - low dependency,Wedding season peak (Nov-Feb),Regulatory/licensing compliance burden; Perishable inventory spoilage,Seasonal festival calendar; Average transaction value trend; Repeat customer rate
BUS00300,Plastic Goods Manufacturer - Unit 0300,2.6,Mixed Retail & Wholesale,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Logistics and last-mile delivery cost; Currency/import cost fluctuation; Dependence on single supplier,Average transaction value trend; Online order volume trend
BUS00301,Handicraft Exporter - Unit 0301,11,Government/Institutional Contracts,Diversified supplier base - low dependency,High demand Oct-Dec (festive season),Dependence on single supplier; Perishable inventory spoilage,Local population growth; Social media engagement/reviews; Local construction/real estate activity
BUS00302,Kirana Store - Unit 0302,1.8,B2B - Regional Distributors,Single supplier - high dependency,Monsoon-dependent (Jun-Sep),Competition from larger chains; Raw material price volatility,Agricultural output in surrounding region; Online order volume trend; Seasonal festival calendar
BUS00303,Stationery Shop - Unit 0303,15,Retail - Repeat/Loyalty,Import-dependent supply chain,High demand Oct-Dec (festive season),Regulatory/licensing compliance burden; Competition from larger chains,Local population growth; Average transaction value trend; Local construction/real estate activity
BUS00304,Textile Manufacturer - Unit 0304,6.6,Institutional (Schools/Offices),Import-dependent supply chain,Stable year-round demand,Raw material price volatility; Power/utility disruptions; Limited access to working capital credit,Local construction/real estate activity; Online order volume trend
BUS00305,Plastic Goods Manufacturer - Unit 0305,3.2,B2B - Regional Distributors,Diversified supplier base - low dependency,Harvest-season dependent,Currency/import cost fluctuation; Raw material price volatility,Local population growth; School/college enrollment nearby; Agricultural output in surrounding region
BUS00306,Cafe - Unit 0306,0.4,Institutional (Schools/Offices),Import-dependent supply chain,"Back-to-school peak (Jun, Jan)",Power/utility disruptions; Regulatory/licensing compliance burden; Competition from larger chains,Online order volume trend; Average transaction value trend; Seasonal festival calendar
BUS00307,Sweet Shop - Unit 0307,22.6,Wholesale Bulk Buyers,Seasonal supplier contracts,Stable year-round demand,Delayed customer payments (B2B); Currency/import cost fluctuation,Social media engagement/reviews; School/college enrollment nearby; Local construction/real estate activity
BUS00308,Cafe - Unit 0308,4.6,Retail - Repeat/Loyalty,Self-sourced/in-house production,Stable year-round demand,Perishable inventory spoilage; Currency/import cost fluctuation; Regulatory/licensing compliance burden,Seasonal festival calendar; School/college enrollment nearby; Agricultural output in surrounding region
BUS00309,Clothing Boutique - Unit 0309,2,B2B - Regional Distributors,Single supplier - high dependency,Harvest-season dependent,Currency/import cost fluctuation; Seasonal cash flow gaps; Raw material price volatility,Seasonal festival calendar; Agricultural output in surrounding region; Local employment rate
BUS00310,Fitness Studio - Unit 0310,10.9,B2B - Regional Distributors,Diversified supplier base - low dependency,Monsoon-dependent (Jun-Sep),Currency/import cost fluctuation; Regulatory/licensing compliance burden; Delayed customer payments (B2B),Local population growth; School/college enrollment nearby; Social media engagement/reviews
BUS00311,Electronics Retailer - Unit 0311,4.2,B2B - Local Businesses,Import-dependent supply chain,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; Regulatory/licensing compliance burden,Online order volume trend; Competitor density in radius
BUS00312,Bakery - Unit 0312,4.8,Online/E-commerce,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Competition from larger chains; Dependence on single supplier; Limited access to working capital credit,School/college enrollment nearby; Local construction/real estate activity
BUS00313,Bookstore - Unit 0313,20.7,B2B - Regional Distributors,Seasonal supplier contracts,Stable year-round demand,Delayed customer payments (B2B); Perishable inventory spoilage; Power/utility disruptions,Local population growth; Agricultural output in surrounding region
BUS00314,Clothing Boutique - Unit 0314,6.7,Mixed Retail & Wholesale,2-3 suppliers - moderate dependency,Wedding season peak (Nov-Feb),Dependence on single supplier; Competition from larger chains,School/college enrollment nearby; Local population growth; Competitor density in radius
BUS00315,Vegetable Vendor - Unit 0315,0.4,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Competition from larger chains; Dependence on single supplier,Local construction/real estate activity; Local employment rate
BUS00316,Vegetable Vendor - Unit 0316,9.6,Mixed Retail & Wholesale,Self-sourced/in-house production,High demand Oct-Dec (festive season),Delayed customer payments (B2B); High employee attrition,Foot traffic count; Competitor density in radius; Social media engagement/reviews
BUS00317,Clothing Boutique - Unit 0317,0.5,B2B - Regional Distributors,2-3 suppliers - moderate dependency,Wedding season peak (Nov-Feb),Seasonal cash flow gaps; Dependence on single supplier; Power/utility disruptions,Local population growth; Repeat customer rate; Foot traffic count
BUS00318,Dairy & Milk Supplier - Unit 0318,4.9,Government/Institutional Contracts,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Power/utility disruptions; Currency/import cost fluctuation; Seasonal cash flow gaps,Average transaction value trend; Competitor density in radius; Online order volume trend
BUS00319,Electronics Retailer - Unit 0319,8.1,B2B - Regional Distributors,Import-dependent supply chain,Summer peak (Apr-Jun),Limited access to working capital credit; Raw material price volatility,Repeat customer rate; Competitor density in radius
BUS00320,Cloud Kitchen - Unit 0320,0.5,Institutional (Schools/Offices),Seasonal supplier contracts,High demand Oct-Dec (festive season),Currency/import cost fluctuation; Dependence on single supplier,Foot traffic count; Repeat customer rate
BUS00321,Tutoring Center - Unit 0321,14.3,Government/Institutional Contracts,Diversified supplier base - low dependency,Year-end/New Year spike,High employee attrition; Currency/import cost fluctuation,Seasonal festival calendar; Local employment rate
BUS00322,Sweet Shop - Unit 0322,1.1,Institutional (Schools/Offices),Seasonal supplier contracts,Summer peak (Apr-Jun),Dependence on single supplier; Delayed customer payments (B2B); Logistics and last-mile delivery cost,Seasonal festival calendar; Repeat customer rate
BUS00323,Event Planning Service - Unit 0323,1,B2B - Regional Distributors,Diversified supplier base - low dependency,"Low seasonality, weekday/weekend variation only",Regulatory/licensing compliance burden; Power/utility disruptions,Local population growth; Foot traffic count; Social media engagement/reviews
BUS00324,Mobile Repair Shop - Unit 0324,3.2,Mixed Retail & Wholesale,Diversified supplier base - low dependency,Monsoon-dependent (Jun-Sep),Raw material price volatility; Currency/import cost fluctuation,Repeat customer rate; Local construction/real estate activity
BUS00325,Sweet Shop - Unit 0325,12.9,Retail - Repeat/Loyalty,Seasonal supplier contracts,Stable year-round demand,Perishable inventory spoilage; Currency/import cost fluctuation,Average transaction value trend; Seasonal festival calendar
BUS00326,Hardware Store - Unit 0326,12.3,B2B - Local Businesses,Single supplier - high dependency,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; Regulatory/licensing compliance burden; Power/utility disruptions,Repeat customer rate; Foot traffic count
BUS00327,Kirana Store - Unit 0327,2.1,B2B - Local Businesses,Diversified supplier base - low dependency,Wedding season peak (Nov-Feb),Logistics and last-mile delivery cost; Perishable inventory spoilage; Dependence on single supplier,Competitor density in radius; Local population growth; Repeat customer rate
BUS00328,Fitness Studio - Unit 0328,11.8,Institutional (Schools/Offices),Self-sourced/in-house production,Year-end/New Year spike,Currency/import cost fluctuation; Seasonal cash flow gaps; Dependence on single supplier,Agricultural output in surrounding region; Foot traffic count
BUS00329,Plastic Goods Manufacturer - Unit 0329,1.7,Mixed Retail & Wholesale,Seasonal supplier contracts,Year-end/New Year spike,Logistics and last-mile delivery cost; Power/utility disruptions,Local construction/real estate activity; Foot traffic count; Local population growth
BUS00330,Mobile Repair Shop - Unit 0330,12.7,Wholesale Bulk Buyers,Self-sourced/in-house production,High demand Oct-Dec (festive season),Perishable inventory spoilage; Currency/import cost fluctuation,Foot traffic count; School/college enrollment nearby; Social media engagement/reviews
BUS00331,Photography Studio - Unit 0331,27.2,B2B - Regional Distributors,Import-dependent supply chain,Wedding season peak (Nov-Feb),Power/utility disruptions; Currency/import cost fluctuation,Average transaction value trend; Competitor density in radius
BUS00332,Sweet Shop - Unit 0332,8.6,Government/Institutional Contracts,Seasonal supplier contracts,High demand Oct-Dec (festive season),Currency/import cost fluctuation; Seasonal cash flow gaps,Average transaction value trend; Local population growth; Repeat customer rate
BUS00333,Photography Studio - Unit 0333,13.9,Online/E-commerce,Diversified supplier base - low dependency,High demand Oct-Dec (festive season),Delayed customer payments (B2B); Currency/import cost fluctuation,Local employment rate; Online order volume trend; Repeat customer rate
BUS00334,Print & Copy Shop - Unit 0334,16.8,Mixed Retail & Wholesale,Single supplier - high dependency,Year-end/New Year spike,Regulatory/licensing compliance burden; Dependence on single supplier; Competition from larger chains,Repeat customer rate; Local employment rate
BUS00335,Tutoring Center - Unit 0335,0.5,Retail - Walk-in,Single supplier - high dependency,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; Limited access to working capital credit,Competitor density in radius; Agricultural output in surrounding region; Foot traffic count
BUS00336,Agri Input Dealer - Unit 0336,3.4,Online/E-commerce,Seasonal supplier contracts,Year-end/New Year spike,Limited access to working capital credit; Competition from larger chains; Dependence on single supplier,School/college enrollment nearby; Online order volume trend
BUS00337,Kirana Store - Unit 0337,6.6,Institutional (Schools/Offices),Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Limited access to working capital credit; Dependence on single supplier; Raw material price volatility,Average transaction value trend; Local population growth
BUS00338,Agri Input Dealer - Unit 0338,8.4,B2B - Regional Distributors,2-3 suppliers - moderate dependency,Stable year-round demand,High employee attrition; Competition from larger chains; Limited access to working capital credit,Repeat customer rate; Local employment rate; Foot traffic count
BUS00339,Handicraft Exporter - Unit 0339,21.2,Mixed Retail & Wholesale,Self-sourced/in-house production,"Low seasonality, weekday/weekend variation only",Competition from larger chains; Raw material price volatility,Social media engagement/reviews; Local employment rate
BUS00340,Agri Input Dealer - Unit 0340,24.8,Government/Institutional Contracts,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Dependence on single supplier; Power/utility disruptions,Social media engagement/reviews; Local employment rate; School/college enrollment nearby
BUS00341,Cafe - Unit 0341,2.7,Online/E-commerce,Diversified supplier base - low dependency,Year-end/New Year spike,Seasonal cash flow gaps; Power/utility disruptions,Agricultural output in surrounding region; Social media engagement/reviews; Competitor density in radius
BUS00342,Cloud Kitchen - Unit 0342,21.1,B2B - Regional Distributors,2-3 suppliers - moderate dependency,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; Seasonal cash flow gaps; Limited access to working capital credit,Agricultural output in surrounding region; Repeat customer rate; Competitor density in radius
BUS00343,Textile Manufacturer - Unit 0343,15.5,Wholesale Bulk Buyers,Import-dependent supply chain,"Low seasonality, weekday/weekend variation only",Power/utility disruptions; Raw material price volatility; Delayed customer payments (B2B),Foot traffic count; Local employment rate
BUS00344,Salon & Spa - Unit 0344,0.5,B2B - Regional Distributors,Diversified supplier base - low dependency,Summer peak (Apr-Jun),Currency/import cost fluctuation; Perishable inventory spoilage; Seasonal cash flow gaps,Agricultural output in surrounding region; Seasonal festival calendar
BUS00345,Clothing Boutique - Unit 0345,16.3,Mixed Retail & Wholesale,Single supplier - high dependency,"Low seasonality, weekday/weekend variation only",Limited access to working capital credit; Currency/import cost fluctuation,Online order volume trend; Social media engagement/reviews; Seasonal festival calendar
BUS00346,Cloud Kitchen - Unit 0346,0.6,Wholesale Bulk Buyers,Self-sourced/in-house production,Wedding season peak (Nov-Feb),Raw material price volatility; Perishable inventory spoilage,Local construction/real estate activity; Average transaction value trend
BUS00347,Agri Input Dealer - Unit 0347,3.5,Online/E-commerce,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Limited access to working capital credit; High employee attrition,Average transaction value trend; Local population growth; Repeat customer rate
BUS00348,Electronics Retailer - Unit 0348,2.2,Retail - Repeat/Loyalty,Self-sourced/in-house production,High demand Oct-Dec (festive season),Perishable inventory spoilage; Delayed customer payments (B2B); Limited access to working capital credit,Local population growth; Local construction/real estate activity
BUS00349,Plastic Goods Manufacturer - Unit 0349,4,Mixed Retail & Wholesale,Import-dependent supply chain,Summer peak (Apr-Jun),Seasonal cash flow gaps; Regulatory/licensing compliance burden,School/college enrollment nearby; Local construction/real estate activity
BUS00350,Agri Input Dealer - Unit 0350,5,Government/Institutional Contracts,Diversified supplier base - low dependency,Stable year-round demand,Delayed customer payments (B2B); High employee attrition; Seasonal cash flow gaps,Social media engagement/reviews; Local population growth
BUS00351,Tutoring Center - Unit 0351,20.3,Retail - Repeat/Loyalty,Diversified supplier base - low dependency,Monsoon-dependent (Jun-Sep),Currency/import cost fluctuation; Regulatory/licensing compliance burden,Competitor density in radius; Seasonal festival calendar; Online order volume trend
BUS00352,Photography Studio - Unit 0352,25.3,Government/Institutional Contracts,Import-dependent supply chain,High demand Oct-Dec (festive season),Currency/import cost fluctuation; Regulatory/licensing compliance burden,Online order volume trend; School/college enrollment nearby; Local construction/real estate activity
BUS00353,Handicraft Exporter - Unit 0353,22.4,Retail - Walk-in,Import-dependent supply chain,Wedding season peak (Nov-Feb),Dependence on single supplier; Power/utility disruptions; Perishable inventory spoilage,Foot traffic count; Social media engagement/reviews; Competitor density in radius
BUS00354,Grocery Wholesaler - Unit 0354,19.6,Retail - Walk-in,Diversified supplier base - low dependency,Monsoon-dependent (Jun-Sep),Delayed customer payments (B2B); Dependence on single supplier; Currency/import cost fluctuation,Social media engagement/reviews; Agricultural output in surrounding region
BUS00355,Kirana Store - Unit 0355,0.9,B2B - Regional Distributors,Import-dependent supply chain,Harvest-season dependent,High employee attrition; Delayed customer payments (B2B),School/college enrollment nearby; Repeat customer rate; Local population growth
BUS00356,Kirana Store - Unit 0356,16.3,Retail - Walk-in,Single supplier - high dependency,Stable year-round demand,Seasonal cash flow gaps; Perishable inventory spoilage,Local construction/real estate activity; Online order volume trend
BUS00357,Handicraft Exporter - Unit 0357,4.8,Mixed Retail & Wholesale,Import-dependent supply chain,Harvest-season dependent,Regulatory/licensing compliance burden; Raw material price volatility; Power/utility disruptions,Social media engagement/reviews; Foot traffic count
BUS00358,Vegetable Vendor - Unit 0358,20.6,Retail - Walk-in,Import-dependent supply chain,Stable year-round demand,Delayed customer payments (B2B); Dependence on single supplier; Perishable inventory spoilage,Local construction/real estate activity; Repeat customer rate; Seasonal festival calendar
BUS00359,Photography Studio - Unit 0359,14.3,Retail - Walk-in,Self-sourced/in-house production,Summer peak (Apr-Jun),Seasonal cash flow gaps; Power/utility disruptions,School/college enrollment nearby; Local population growth; Seasonal festival calendar
BUS00360,Sweet Shop - Unit 0360,8.3,Retail - Walk-in,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Dependence on single supplier; Raw material price volatility,Local construction/real estate activity; Agricultural output in surrounding region
BUS00361,Fitness Studio - Unit 0361,20.4,Retail - Repeat/Loyalty,Diversified supplier base - low dependency,Monsoon-dependent (Jun-Sep),High employee attrition; Power/utility disruptions; Delayed customer payments (B2B),Local population growth; Agricultural output in surrounding region
BUS00362,Bakery - Unit 0362,28.3,B2B - Regional Distributors,Single supplier - high dependency,Summer peak (Apr-Jun),Delayed customer payments (B2B); Competition from larger chains,Seasonal festival calendar; School/college enrollment nearby
BUS00363,Restaurant - Unit 0363,4.2,Mixed Retail & Wholesale,Diversified supplier base - low dependency,Wedding season peak (Nov-Feb),Currency/import cost fluctuation; Limited access to working capital credit,Repeat customer rate; Seasonal festival calendar
BUS00364,Cafe - Unit 0364,1.2,Online/E-commerce,Self-sourced/in-house production,Year-end/New Year spike,Logistics and last-mile delivery cost; Currency/import cost fluctuation; Perishable inventory spoilage,Local construction/real estate activity; Agricultural output in surrounding region
BUS00365,Stationery Shop - Unit 0365,8.3,B2B - Local Businesses,Single supplier - high dependency,Wedding season peak (Nov-Feb),High employee attrition; Currency/import cost fluctuation,Seasonal festival calendar; Competitor density in radius; Local population growth
BUS00366,Sweet Shop - Unit 0366,8.1,Mixed Retail & Wholesale,Self-sourced/in-house production,Wedding season peak (Nov-Feb),Competition from larger chains; Delayed customer payments (B2B); Dependence on single supplier,School/college enrollment nearby; Local construction/real estate activity
BUS00367,Restaurant - Unit 0367,5.7,B2B - Local Businesses,Seasonal supplier contracts,Monsoon-dependent (Jun-Sep),Limited access to working capital credit; Currency/import cost fluctuation; Dependence on single supplier,Foot traffic count; Social media engagement/reviews
BUS00368,Vegetable Vendor - Unit 0368,0.6,Wholesale Bulk Buyers,Seasonal supplier contracts,Monsoon-dependent (Jun-Sep),Delayed customer payments (B2B); Perishable inventory spoilage,School/college enrollment nearby; Local population growth; Competitor density in radius
BUS00369,Fitness Studio - Unit 0369,3.5,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,Year-end/New Year spike,Power/utility disruptions; Regulatory/licensing compliance burden,School/college enrollment nearby; Online order volume trend
BUS00370,Plastic Goods Manufacturer - Unit 0370,26.8,Government/Institutional Contracts,2-3 suppliers - moderate dependency,Year-end/New Year spike,Seasonal cash flow gaps; Logistics and last-mile delivery cost,Agricultural output in surrounding region; Average transaction value trend
BUS00371,Stationery Shop - Unit 0371,0.4,Mixed Retail & Wholesale,2-3 suppliers - moderate dependency,Stable year-round demand,Regulatory/licensing compliance burden; High employee attrition; Raw material price volatility,Social media engagement/reviews; Competitor density in radius
BUS00372,Fitness Studio - Unit 0372,17.5,Retail - Walk-in,Single supplier - high dependency,Wedding season peak (Nov-Feb),Limited access to working capital credit; Delayed customer payments (B2B),Agricultural output in surrounding region; Seasonal festival calendar; Local construction/real estate activity
BUS00373,Textile Manufacturer - Unit 0373,21.7,Wholesale Bulk Buyers,Diversified supplier base - low dependency,Stable year-round demand,Power/utility disruptions; High employee attrition; Delayed customer payments (B2B),Competitor density in radius; Agricultural output in surrounding region; Average transaction value trend
BUS00374,Event Planning Service - Unit 0374,17.3,Retail - Walk-in,Seasonal supplier contracts,Summer peak (Apr-Jun),Seasonal cash flow gaps; High employee attrition; Dependence on single supplier,Online order volume trend; Local population growth; School/college enrollment nearby
BUS00375,Electronics Retailer - Unit 0375,7.3,Retail - Repeat/Loyalty,Import-dependent supply chain,Monsoon-dependent (Jun-Sep),Regulatory/licensing compliance burden; Dependence on single supplier; Competition from larger chains,Average transaction value trend; Online order volume trend; Local construction/real estate activity
BUS00376,Electronics Retailer - Unit 0376,8.1,Retail - Walk-in,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Currency/import cost fluctuation; Delayed customer payments (B2B),Local construction/real estate activity; Local population growth
BUS00377,Pharmacy - Unit 0377,1.8,B2B - Local Businesses,Seasonal supplier contracts,Harvest-season dependent,Limited access to working capital credit; Currency/import cost fluctuation,Repeat customer rate; Online order volume trend; Average transaction value trend
BUS00378,Cafe - Unit 0378,17.2,B2B - Local Businesses,2-3 suppliers - moderate dependency,Harvest-season dependent,Logistics and last-mile delivery cost; Seasonal cash flow gaps,Local population growth; School/college enrollment nearby; Competitor density in radius
BUS00379,Handicraft Exporter - Unit 0379,15.6,Retail - Repeat/Loyalty,2-3 suppliers - moderate dependency,Harvest-season dependent,Seasonal cash flow gaps; Dependence on single supplier; Raw material price volatility,Social media engagement/reviews; Agricultural output in surrounding region
BUS00380,Sweet Shop - Unit 0380,11.3,Retail - Repeat/Loyalty,2-3 suppliers - moderate dependency,Year-end/New Year spike,Delayed customer payments (B2B); Limited access to working capital credit,Repeat customer rate; Average transaction value trend
BUS00381,Sweet Shop - Unit 0381,2.3,Government/Institutional Contracts,Single supplier - high dependency,Harvest-season dependent,Regulatory/licensing compliance burden; Raw material price volatility; Delayed customer payments (B2B),Online order volume trend; Average transaction value trend; Local employment rate
BUS00382,Stationery Shop - Unit 0382,28,Retail - Repeat/Loyalty,Self-sourced/in-house production,Summer peak (Apr-Jun),Competition from larger chains; High employee attrition; Dependence on single supplier,Local construction/real estate activity; Social media engagement/reviews; Local employment rate
BUS00383,Hardware Store - Unit 0383,2.4,Retail - Walk-in,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Delayed customer payments (B2B); Raw material price volatility,School/college enrollment nearby; Online order volume trend; Competitor density in radius
BUS00384,Tutoring Center - Unit 0384,5.9,Wholesale Bulk Buyers,Import-dependent supply chain,"Back-to-school peak (Jun, Jan)",Delayed customer payments (B2B); Power/utility disruptions; Logistics and last-mile delivery cost,Local construction/real estate activity; Seasonal festival calendar; Local employment rate
BUS00385,Photography Studio - Unit 0385,2.9,Government/Institutional Contracts,Self-sourced/in-house production,Summer peak (Apr-Jun),Delayed customer payments (B2B); Limited access to working capital credit; Competition from larger chains,Seasonal festival calendar; Local construction/real estate activity; Competitor density in radius
BUS00386,Photography Studio - Unit 0386,10.9,Retail - Repeat/Loyalty,Import-dependent supply chain,Monsoon-dependent (Jun-Sep),Limited access to working capital credit; Seasonal cash flow gaps; Dependence on single supplier,Social media engagement/reviews; Local employment rate
BUS00387,Event Planning Service - Unit 0387,7.8,Retail - Walk-in,2-3 suppliers - moderate dependency,Harvest-season dependent,Dependence on single supplier; Seasonal cash flow gaps,Local construction/real estate activity; Local employment rate; Repeat customer rate
